Wavelength (nm),E_res (eV),Width (nm),Length (nm),AspectRatio,Linewidth (eV),Linewidth (nm),MaxCscat
634,1.955583596,25,62,2.48,0.135701223,44,1.12E-15
718,1.726796657,26.0441,88.1511,3.384685975,0.084164463,35,8.18E-15
697,1.778823529,26.0493,82.057,3.150065453,0.081657114,32,6.52E-15
724,1.712486188,26.2,90.5,3.454198473,0.087505267,37,8.76E-15
706,1.756147309,26.6111,86.9111,3.265971719,0.084562754,34,8.10E-15
710,1.746253521,26.6111,87.9111,3.303550022,0.086071813,35,8.37E-15
732,1.693770492,26.79,93.49,3.489734976,0.087916631,38,9.76E-15
726,1.707768595,27.09,92.99,3.432631968,0.089375803,38,9.85E-15
601,2.06296173,27.5,58,2.109090909,0.140716335,41,6.48E-16
721,1.71961165,27.79,92.49,3.328175603,0.09061971,38,9.97E-15
636,1.949433962,27,66,2.444444444,0.144043355,47,1.36E-15
672,1.845,27,78,2.888888889,0.085100625,31,5.33E-15
687,1.804716157,28.23,84.97,3.009918526,0.08930485,34,7.77E-15
593,2.09079258,28.2,55.6,1.971631206,0.144538676,41,4.62E-16
606,2.045940594,28.3,61.7,2.180212014,0.141779566,42,9.21E-16
601,2.06296173,28.5,59,2.070175439,0.137284229,40,6.65E-16
605,2.049322314,28.5,61,2.140350877,0.125314284,37,8.80E-16
613,2.022577488,28,63.5,2.267857143,0.14185907,43,1.16E-15
618,2.006213592,28,64.9,2.317857143,0.126589376,39,1.47E-15
615,2.016,28,64,2.285714286,0.14093791,43,1.19E-15
620,1.999741935,28,65.8,2.35,0.132223936,41,1.57E-15
603,2.056119403,29.1,61.06,2.098281787,0.132965688,39,8.61E-16
593,2.09079258,29.4,57,1.93877551,0.176266678,50,4.57E-16
609,2.035862069,29.4,64.5,2.193877551,0.150413747,45,1.16E-15
620,1.999741935,29.4,67.5,2.295918367,0.103199169,32,2.01E-15
624,1.986923077,29.5,69,2.338983051,0.117799147,37,2.22E-15
592,2.094324324,29.6,56.81,1.919256757,0.162713662,46,4.73E-16
590,2.101423729,29.6,57.81,1.953040541,0.156696124,44,5.45E-16
595,2.083764706,29.6,58.6,1.97972973,0.154073641,44,6.03E-16
594,2.087272727,29.6,59.6,2.013513514,0.147565897,42,6.98E-16
613,2.022577488,29.71,66.12,2.225513295,0.155055263,47,1.40E-15
597,2.07678392,29,58.5,2.017241379,0.156521303,45,5.59E-16
595,2.083764706,29,58,2,0.150571968,43,5.65E-16
599,2.06984975,29,59.6,2.055172414,0.15547783,45,6.47E-16
609,2.035862069,29,63.4,2.186206897,0.140386164,42,1.04E-15
608,2.039210526,29,63,2.172413793,0.147555404,44,9.70E-16
617,2.009465154,29,66.2,2.282758621,0.127000047,39,1.45E-15
604,2.052715232,30.11,65.12,2.162736632,0.163108638,48,1.13E-15
601,2.06296173,30.12,63.48,2.107569721,0.161308969,47,9.81E-16
592,2.094324324,30.3,59.45,1.962046205,0.145027395,41,6.79E-16
599,2.06984975,30.4,62.7,2.0625,0.15547783,45,8.97E-16
597,2.07678392,30.5,61.7,2.02295082,0.142608298,41,8.87E-16
612,2.025882353,30.5,67,2.196721311,0.12577385,38,1.58E-15
597,2.07678392,30.6,62.2,2.032679739,0.1495648,43,8.38E-16
616,2.012727273,30.9,69.5,2.249190939,0.124145726,38,2.07E-15
595,2.083764706,30,60,2,0.157575315,45,6.77E-16
604,2.052715232,30,64,2.133333333,0.152914348,45,1.06E-15
606,2.045940594,30,65,2.166666667,0.131652455,39,1.30E-15
611,2.029198036,30,66.81,2.227,0.146109972,44,1.49E-15
612,2.025882353,30,67.4,2.246666667,0.148942717,45,1.54E-15
619,2.002972536,30,68,2.266666667,0.145593108,45,1.63E-15
617,2.009465154,30,69.1,2.303333333,0.149794927,46,1.78E-15
645,1.922232558,30,76,2.533333333,0.110253376,37,3.88E-15
618,2.006213592,31.03,70.84,2.282951982,0.133081139,41,2.30E-15
618,2.006213592,31.1,71.2,2.289389068,0.13632702,42,2.33E-15
594,2.087272727,31.53,61.8,1.960038059,0.147565897,42,8.32E-16
598,2.073311037,31.53,62.8,1.991753885,0.138665118,40,9.69E-16
592,2.094324324,31.5,61.5,1.952380952,0.162713662,46,7.55E-16
611,2.029198036,31.63,69.84,2.208030351,0.119544523,36,2.17E-15
596,2.080268456,31,61.5,1.983870968,0.157046982,45,8.02E-16
611,2.029198036,31,67.5,2.177419355,0.126185885,38,1.67E-15
609,2.035862069,32.13,69.24,2.154995331,0.123673525,37,1.99E-15
608,2.039210526,32.1,69.2,2.15576324,0.130787745,39,1.88E-15
597,2.07678392,32.53,64.8,1.992007378,0.139130047,40,1.20E-15
600,2.0664,32.5,67,2.061538462,0.134298669,39,1.48E-15
608,2.039210526,33.4,71.3,2.134730539,0.137494808,41,2.09E-15
594,2.087272727,33.53,66.8,1.99224575,0.158106318,45,1.28E-15
581,2.133975904,33,61,1.848484848,0.172605725,47,6.53E-16
591,2.09786802,33,65,1.96969697,0.166814001,47,1.00E-15
